,Date,Ice,jd
0,1979-01-15,0.82842505,2443888.5
1,1979-02-15,0.9988363,2443919.5
2,1979-03-15,0.9710212,2443947.5
3,1979-04-15,1.0,2443978.5
4,1979-05-15,0.92076164,2444008.5
5,1979-06-15,0.6503937,2444039.5
6,1979-07-15,-0.044671055,2444069.5
7,1979-08-15,-0.83957535,2444100.5
8,1979-09-15,-1.4776713,2444131.5
9,1979-10-15,-0.40057153,2444161.5
10,1979-11-15,0.20571928,2444192.5
11,1979-12-15,0.6324248,2444222.5
12,1980-01-15,0.6787871,2444253.5
13,1980-02-15,0.79953283,2444284.5
14,1980-03-15,0.7465757,2444313.5
15,1980-04-15,0.7968028,2444344.5
16,1980-05-15,0.63808936,2444374.5
17,1980-06-15,0.47940183,2444405.5
18,1980-07-15,0.011608055,2444435.5
19,1980-08-15,-0.52834827,2444466.5
20,1980-09-15,-0.68071234,2444497.5
21,1980-10-15,-0.2798444,2444527.5
22,1980-11-15,0.45107853,2444558.5
23,1980-12-15,0.7357278,2444588.5
24,1981-01-15,0.69713724,2444619.5
25,1981-02-15,0.62194043,2444650.5
26,1981-03-15,0.86362827,2444678.5
27,1981-04-15,0.90751356,2444709.5
28,1981-05-15,0.908383,2444739.5
29,1981-06-15,0.55005383,2444770.5
30,1981-07-15,0.097720005,2444800.5
31,1981-08-15,-0.4382777,2444831.5
32,1981-09-15,-0.69610584,2444862.5
33,1981-10-15,-0.33282092,2444892.5
34,1981-11-15,0.08230581,2444923.5
35,1981-12-15,0.65295506,2444953.5
36,1982-01-15,0.8315294,2444984.5
37,1982-02-15,0.85556656,2445015.5
38,1982-03-15,0.8022038,2445043.5
39,1982-04-15,0.88722366,2445074.5
40,1982-05-15,0.67357844,2445104.5
41,1982-06-15,0.48011306,2445135.5
42,1982-07-15,0.16894667,2445165.5
43,1982-08-15,-0.53887475,2445196.5
44,1982-09-15,-0.6890769,2445227.5
45,1982-10-15,0.11339787,2445257.5
46,1982-11-15,0.44657007,2445288.5
47,1982-12-15,0.5034147,2445318.5
48,1983-01-15,0.45648,2445349.5
49,1983-02-15,0.5312457,2445380.5
50,1983-03-15,0.5076768,2445408.5
51,1983-04-15,0.5832502,2445439.5
52,1983-05-15,0.5380811,2445469.5
53,1983-06-15,0.20405254,2445500.5
54,1983-07-15,-0.19755743,2445530.5
55,1983-08-15,-0.84095806,2445561.5
56,1983-09-15,-1.1136296,2445592.5
57,1983-10-15,-0.64180136,2445622.5
58,1983-11-15,0.2860646,2445653.5
59,1983-12-15,0.54148316,2445683.5
60,1984-01-15,0.40521705,2445714.5
61,1984-02-15,0.35694966,2445745.5
62,1984-03-15,0.5911487,2445774.5
63,1984-04-15,0.69262195,2445805.5
64,1984-05-15,0.47974554,2445835.5
65,1984-06-15,0.18115582,2445866.5
66,1984-07-15,-0.5583653,2445896.5
67,1984-08-15,-1.1324116,2445927.5
68,1984-09-15,-1.3074203,2445958.5
69,1984-10-15,-1.0056292,2445988.5
70,1984-11-15,-0.1081039,2446019.5
71,1984-12-15,0.17611086,2446049.5
72,1985-01-15,0.39084497,2446080.5
73,1985-02-15,0.71490425,2446111.5
74,1985-03-15,0.58988655,2446139.5
75,1985-04-15,0.7857038,2446170.5
76,1985-05-15,0.5555908,2446200.5
77,1985-06-15,0.15484111,2446231.5
78,1985-07-15,-0.32900223,2446261.5
79,1985-08-15,-1.3177477,2446292.5
80,1985-09-15,-1.4552823,2446323.5
81,1985-10-15,-1.0547205,2446353.5
82,1985-11-15,0.029149877,2446384.5
83,1985-12-15,0.45704657,2446414.5
84,1986-01-15,0.6531936,2446445.5
85,1986-02-15,0.7280328,2446476.5
86,1986-03-15,0.64016676,2446504.5
87,1986-04-15,0.83344805,2446535.5
88,1986-05-15,0.6659073,2446565.5
89,1986-06-15,0.40971923,2446596.5
90,1986-07-15,-0.042297024,2446626.5
91,1986-08-15,-0.70551956,2446657.5
92,1986-09-15,-0.67129856,2446688.5
93,1986-10-15,-0.3745935,2446718.5
94,1986-11-15,0.20599262,2446749.5
95,1986-12-15,0.5108959,2446779.5
96,1987-01-15,0.45820847,2446810.5
97,1987-02-15,0.7909315,2446841.5
98,1987-03-15,0.7047843,2446869.5
99,1987-04-15,0.88562125,2446900.5
100,1987-05-15,0.6925503,2446930.5
101,1987-06-15,0.43601432,2446961.5
102,1987-07-15,0.19219154,2446991.5
103,1987-08-15,-0.7908994,2447022.5
104,1987-09-15,-1.04258,2447053.5
105,1987-10-15,-0.21489942,2447083.5
106,1987-11-15,0.36160094,2447114.5
107,1987-12-15,0.21127638,2447144.5
108,1988-01-15,0.6681765,2447175.5
109,1988-02-15,0.68375385,2447206.5
110,1988-03-15,0.7122082,2447235.5
111,1988-04-15,0.78660125,2447266.5
112,1988-05-15,0.65802586,2447296.5
113,1988-06-15,0.20828582,2447327.5
114,1988-07-15,-0.2196488,2447357.5
115,1988-08-15,-0.72237,2447388.5
116,1988-09-15,-0.6971393,2447419.5
117,1988-10-15,0.012880342,2447449.5
118,1988-11-15,0.47824907,2447480.5
119,1988-12-15,0.63087654,2447510.5
120,1989-01-15,0.77175283,2447541.5
121,1989-02-15,0.7019491,2447572.5
122,1989-03-15,0.5783005,2447600.5
